"participants","items","syntactic_condition","interp","restricted","trial_time","cc","experiment_feedback","legal_background","politics","correct_answer","accuracy"
"R_5SGqoT7EnezM64F",8,"simple","Utility “tanks” like fuel storage or septic systems","Restricted",43.044,"An aquarium","I think that rule is easy to misinterpret and I’m sure it was an unintentional mistake. ","No legal education or work experience","Lean Conservative","An aquarium",1
"R_6lsEzhRtqAKJ7Ok",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",188.006,"Housing subsidy","","No legal education or work experience","Lean Liberal","Housing subsidy",1
"R_1lo5znDuJPQSgyL",4,"phrasal","Any “relinquishment” including a temporary lease","Broad",26.973,"Power plant","","Some law-related coursework","Progressive (most liberal)","Power plant",1
"R_6ab5kLA2Vd6JoyN",7,"baseline","Architectural “detailed representations” like blueprints and technical drawings","Restricted",44.127,"Joshua","","No legal education or work experience","Conservative/Republican","Joshua",1
"R_5kmIM6g12hwEStz",7,"phrasal","Architectural “detailed representations” like blueprints and technical drawings","Restricted",45.093,"Joshua","","No legal education or work experience","Progressive (most liberal)","Joshua",1
"R_5waXNWmC6NNtlyA",9,"baseline","Promotional “signs” like advertisements or flyers","Restricted",14.262,"IT","","No legal education or work experience","Progressive (most liberal)","IT",1
"R_6TRpBR5bYNVI5B7",5,"baseline","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",59.529,"In her purse","n/a","No legal education or work experience","Lean Conservative","In her purse",1
"R_5fCy1Mzgm1YhRfC",2,"phrasal","Any “harm” including a skin rash resulting from neglect","Broad",43.273,"Orca","Thank you!","Some law-related coursework","Progressive (most liberal)","Orca",1
"R_1JlKGHvYhTQFxPT",7,"simple","Any “detailed representations” including an intricate painting","Broad",88.366,"Joshua","","No legal education or work experience","Lean Conservative","Joshua",1
"R_7Gru9NhJMWFTV6N",10,"phrasal","Loud “machines” like washers or dryers","Restricted",35.346,"Sewing machine","na","Some law-related coursework","Lean Liberal","Sewing machine",1
"R_7eajBay5tJezdna",10,"baseline","Any “machine” including a small sewing machine","Broad",28.805,"Sewing machine","None","No legal education or work experience","Lean Liberal","Sewing machine",1
"R_5KUs3yi9hKbweVH",6,"simple","Any “waste” including used gift-wrapping paper","Broad",58.726,"At the campground","","No legal education or work experience","Moderate/Centrist","At the campground",1
"R_7iwM5U2mhA2iUDT",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",27.615,"Bicycle","","No legal education or work experience","Progressive (most liberal)","Bicycle",1
"R_5GE1UXbcjPZgDds",10,"baseline","Any “machine” including a small sewing machine","Broad",39.839,"Sewing machine","","No legal education or work experience","Moderate/Centrist","Sewing machine",1
"R_7VvAjBYbB8ekQs9",10,"simple","Any “machine” including a small sewing machine","Broad",23.653,"Sewing machine","","Some law-related coursework","Lean Conservative","Sewing machine",1
"R_7h3r5N0S4KWMPXH",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",45.725,"Housing subsidy","","No legal education or work experience","Lean Conservative","Housing subsidy",1
"R_7QzfIcHVaayPyML",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",30.92,"Orca","","Some law-related coursework","Liberal/Democrat","Orca",1
"R_5Qmu4jc91EqiUtH",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",31.893,"At the campground","","Some law-related coursework","Lean Conservative","At the campground",1
"R_7JgZ0TwBZxL9JDw",3,"baseline","Any “clinic” including a wellness spa","Broad",27.044,"Gun","","No legal education or work experience","Lean Liberal","Gun",1
"R_1q3cn7wUiwdUSml",7,"simple","Architectural “detailed representations” like blueprints and technical drawings","Restricted",18.866,"Joe","","Legal work experience but no law degree","Right-wing (most conservative)","Joshua",0
"R_6TRPeuxgsZdFFp7",5,"phrasal","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",26.886,"In her purse","I think it has a chance of misfiring when not placed in a box.","No legal education or work experience","Moderate/Centrist","In her purse",1
"R_1hnHQsQN9yyDEWw",3,"simple","Medical “clinics” that are like hospitals or urgent care centers","Restricted",48.493,"Gun","","No legal education or work experience","Conservative/Republican","Gun",1
"R_6dVW5vtSPczAadP",2,"phrasal","Any “harm” including a skin rash resulting from neglect","Broad",31.8,"Orca","","No legal education or work experience","Liberal/Democrat","Orca",1
"R_6ru8seJ4ts04BOC",11,"phrasal","Digital “electronic devices” like phones or tablets","Restricted",27.685,"Nicholas","","No legal education or work experience","Progressive (most liberal)","Nicholas",1
"R_6qWknc0QXoQMoep",3,"phrasal","Any “clinic” including a wellness spa","Broad",26.153,"Gun","","No legal education or work experience","Liberal/Democrat","Gun",1
"R_6lgZsT2VqgY4RJZ",9,"simple","Any “sign” including a happy birthday banner","Broad",25.34,"IT","","No legal education or work experience","Progressive (most liberal)","IT",1
"R_6PbzMSPaNlnB4jK",7,"baseline","Any “detailed representations” including an intricate painting","Broad",15.13,"Joshua","","No legal education or work experience","Liberal/Democrat","Joshua",1
"R_7DusP0LrGd2o80P",12,"simple","“Vehicles” with engines like cars or trucks","Restricted",16.113,"Bicycle","","Legal work experience but no law degree","Liberal/Democrat","Bicycle",1
"R_7IZqoabd5eZZ326",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",17.317,"Nicholas","","No legal education or work experience","Liberal/Democrat","Nicholas",1
"R_32mvWOPHsocYirX",4,"simple","Any “relinquishment” including a temporary lease","Broad",30.12,"Power plant","","No legal education or work experience","Moderate/Centrist","Power plant",1
"R_7ri0ycs0LcAhJGO",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",41.646,"At the campground","Thank You.","No legal education or work experience","Progressive (most liberal)","At the campground",1
"R_39zRZQ9LRcVdHvb",8,"phrasal","Any “tank” including a fish tank","Broad",130.724,"An aquarium","","No legal education or work experience","Liberal/Democrat","An aquarium",1
"R_5OczVlxUgxhzebe",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",27.52,"Orca","None.","No legal education or work experience","Right-wing (most conservative)","Orca",1
"R_3SdDFelkhYsHakZ",1,"phrasal","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",40.088,"Housing subsidy","","Some law-related coursework","Right-wing (most conservative)","Housing subsidy",1
"R_7z7Oji6o7wJKA3T",11,"simple","Any “electronic devices” including a small battery-power fan","Broad",19.886,"Nicholas","","No legal education or work experience","Moderate/Centrist","Nicholas",1
"R_3vUHs2044a9PW01",9,"baseline","Any “sign” including a happy birthday banner","Broad",21.499,"IT","No, thank you!","No legal education or work experience","Lean Liberal","IT",1
"R_3XbbAgQ4xJ84o0d",3,"phrasal","Medical “clinics” that are like hospitals or urgent care centers","Restricted",14.488,"Gun","","No legal education or work experience","Liberal/Democrat","Gun",1
"R_77P2BI22aPkHZrr",1,"simple","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",53.743,"Housing subsidy","no comments, nice and easy","No legal education or work experience","Liberal/Democrat","Housing subsidy",1
"R_39vvqBCO7iu9rJk",10,"phrasal","Any “machine” including a small sewing machine","Broad",38.148,"Sewing machine","","No legal education or work experience","Right-wing (most conservative)","Sewing machine",1
"R_6321yuc8Axqav3g",11,"phrasal","Digital “electronic devices” like phones or tablets","Restricted",19.934,"Nicholas","","No legal education or work experience","Lean Liberal","Nicholas",1
"R_67pQVtgKSkuxJtl",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",14.123,"At the campground","","No legal education or work experience","Lean Liberal","At the campground",1
"R_5aJAnMZiBGkq8W5",2,"phrasal","Direct, intentional “harms” that are like hunting and shooting","Restricted",22.059,"Orca","","No legal education or work experience","Liberal/Democrat","Orca",1
"R_36huVI5UmRq5QdU",5,"baseline","Any kind of “closed and fastened case” including a purse","Broad",39.507,"In her purse","","No legal education or work experience","Conservative/Republican","In her purse",1
"R_6DkyBqLQ2PZ29Q5",1,"phrasal","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",55.597,"Housing subsidy","no","No legal education or work experience","Moderate/Centrist","Housing subsidy",1
"R_3NBOtQvrgbKC8EN",9,"simple","Any “sign” including a happy birthday banner","Broad",21.837,"IT","","Some law-related coursework","Progressive (most liberal)","IT",1
"R_1hlQubGHUJdTVq3",8,"baseline","Any “tank” including a fish tank","Broad",43.079,"An aquarium","","No legal education or work experience","Moderate/Centrist","An aquarium",1
"R_6iLvhGJC5bfpT59",6,"simple","Any “waste” including used gift-wrapping paper","Broad",86.218,"At the campground","","No legal education or work experience","Conservative/Republican","At the campground",1
"R_31mdjWAVAsXSBZ3",12,"phrasal","“Vehicles” with engines like cars or trucks","Restricted",25.602,"Bicycle","Vehicle, to me does not ever mean a bicycle. ","Legal work experience but no law degree","Progressive (most liberal)","Bicycle",1
"R_1pQfwT3MUh2Z0rC",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",25.152,"Bicycle","","Some law-related coursework","Liberal/Democrat","Bicycle",1
"R_6iDzFc2Du2m9kn6",3,"simple","Medical “clinics” that are like hospitals or urgent care centers","Restricted",42.324,"Gun","","No legal education or work experience","Conservative/Republican","Gun",1
"R_1q81jLEAk37Rdt5",8,"simple","Any “tank” including a fish tank","Broad",24.588,"A coffee shop","","No legal education or work experience","Lean Conservative","An aquarium",0
"R_6Pc0mQqwzr7pKXO",3,"baseline","Medical “clinics” that are like hospitals or urgent care centers","Restricted",23.186,"Gun","","No legal education or work experience","Liberal/Democrat","Gun",1
"R_6CBmvJZLRLz5IKB",11,"simple","Any “electronic devices” including a small battery-power fan","Broad",27.824,"Nicholas",NA,"Some law-related coursework","Liberal/Democrat","Nicholas",1
"R_6E9XR4ACIF7dA2D",2,"simple","Direct, intentional “harms” that are like hunting and shooting","Restricted",29.668,"Orca","","No legal education or work experience","Lean Liberal","Orca",1
"R_6OzVbSsRFjWborf",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",36.589,"In her purse","I'm not against gun ownership at all but if that law says a securely fastened container than a purse doesnt count cause it doesnt take but one hand to ruffle through a purse without much effort ","No legal education or work experience","Liberal/Democrat","In her purse",1
